应用ID,游戏名称,游玩时长 (小时),已解锁成就,总成就数,成就进度,商店链接,成就链接,图片链接
261570,Ori and the Blind Forest,0.0,0,50,0.0,https://store.steampowered.com/app/261570,https://steamcommunity.com/id/aeorz/stats/261570/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1057090,Ori and the Will of the Wisps,0.0,0,37,0.0,https://store.steampowered.com/app/1057090,https://steamcommunity.com/id/aeorz/stats/1057090/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
441380,PAC-MAN™ CHAMPIONSHIP EDITION 2,0.0,0,18,0.0,https://store.steampowered.com/app/441380,https://steamcommunity.com/id/aeorz/stats/441380/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1144030,Pesterquest,0.0,0,0,0.0,https://store.steampowered.com/app/1144030,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
368180,Polyball,0.0,0,33,0.0,https://store.steampowered.com/app/368180,https://steamcommunity.com/id/aeorz/stats/368180/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1241100,POLYGON,0.0,0,1,0.0,https://store.steampowered.com/app/1241100,https://steamcommunity.com/id/aeorz/stats/1241100/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
314000,Pool Nation FX,0.0,0,38,0.0,https://store.steampowered.com/app/314000,https://steamcommunity.com/id/aeorz/stats/314000/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
232770,POSTAL,0.0,0,27,0.0,https://store.steampowered.com/app/232770,https://steamcommunity.com/id/aeorz/stats/232770/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
702150,Project Mercury,0.0,0,3,0.0,https://store.steampowered.com/app/702150,https://steamcommunity.com/id/aeorz/stats/702150/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
351510,Quiplash,0.0,0,10,0.0,https://store.steampowered.com/app/351510,https://steamcommunity.com/id/aeorz/stats/351510/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1076600,Red Gate,0.0,0,0,0.0,https://store.steampowered.com/app/1076600,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
680360,Regions Of Ruin,0.0,0,20,0.0,https://store.steampowered.com/app/680360,https://steamcommunity.com/id/aeorz/stats/680360/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
