app_id,title,hours,achievements_unlocked,achievements_total
203160,Tomb Raider,0.0,0,50
1029550,Torque Drift,0.0,0,20
324810,TOXIKK,0.0,0,60
835950,Transpose,0.0,0,13
905060,Turret Tech,0.0,0,0
1011300,UNI,0.0,0,0
375950,Viridi,0.0,0,47
255520,Viscera Cleanup Detail: Shadow Warrior,0.0,0,2
500360,VRMultigames,0.0,0,0
436820,Waltz of the Wizard (Legacy demo),0.0,0,0
253510,Warmachine Tactics,0.0,0,121
394130,Water Bears VR,0.0,0,12
582500,We Were Here,0.0,0,26
848550,Welcome Back To 2007 Part II,0.0,0,0
2752710,WHAT THE PAK?!,0.0,0,0
876850,WhiteLily 1：丽丽公主,0.0,0,0
803800,Wide Cross,0.0,0,0
559650,Witch It,0.0,0,41
1407200,World of Tanks,0.0,0,60
790710,World of Warplanes,0.0,0,0
256330,WRC 4 FIA WORLD RALLY CHAMPIONSHIP,0.0,0,50
354160,WRC 5,0.0,0,37
458770,WRC 6,0.0,0,41
1004750,WRC 8 FIA World Rally Championship,0.0,0,43
1267540,WRC 9 FIA World Rally Championship,0.0,0,43
1142100,WWE 2K竞技场,0.0,0,13
625340,XERA：生存游戏,0.0,0,0
